id,title,link,content,gold_label,content_length
1,سال 2024 کا مس یونیورس کا تاج ڈنمارک کی حسینہ نے جیت لیا,https://www.express.pk/story/2733534/danish-girl-won-miss-universe-competition-2024,سال 2024 کا مس یونیورس کا تاج ڈنمارک حسینہ نے جیت لیا ہفتہ شب میکسیکو سٹی میں سالانہ مقابلہ حسن فائنل مقابلوں کا انعقاد جس میں مختلف ممالک حسیناو ں نے شرکت مقابلے کا آغاز جمعرات کو تھا جس بعد 120 حسیناو ں میں سے 30 کو شارٹ لسٹ کیا گیا بعد ازاں پانچ فائنل امیدواروں میں سے ڈنمارک 21 سالہ وکٹوریہ کجر تھیل ویگ کو مس یونیورس 2024 قرار دیا گیا وہ مقابلہ جیتنے والی ڈینش حسینہ نائیجیریا چیڈیما ایڈیٹشینا دوسرے میکسیکو ماریا فرنینڈا تیسرے تھائی لینڈ سچتا چوانگسری چوتھے نمبر رہیں وینزویلا 28 سالہ الیانا مارکیز پیڈروزا جو ماں بھی نے پانچویں پوزیشن حاصل کرکے تاریخ رقم جبکہ مالٹا بیٹریس نجویا خاتون بن گئیں جو چالیس سال سے زائد عمر میں گرینڈ فائنل پہنچیں یاد اس سال مس یونیورس 72 سالہ تاریخ میں بار 28 سال سے زیادہ عمر خواتین کو بھی مقابلے میں حصہ لینے اجازت مس یونیورس آرگنائزیشن نے مقابلہ حسن عمر حد حاملہ خواتین یا ماؤں یا شادی شدہ خواتین پابندی کو گزشتہ سال ختم کردیا تھا مقابلے میں بیلاروس اریٹیریا متحدہ عرب امارات سمیت ممالک نے بار شرکت A post shared by Miss Universe missuniverse,entertainment,1143.0
2,دلجیت دوسانجھ نے تلنگانہ حکومت کی وارننگ کا جواب دے دیا,https://www.express.pk/story/2733530/diljit-dosanjh-ne-tilingana-govt-ki-warning-ka-jawab-de-dia,بھارتی پنجابی گلوکار دلجیت دوسانجھ نے تلنگانہ حکومت جانب سے شراب تشدد اکسانے گانوں سے روکنے اپنا ردعمل دیا گلوکار نے ہفتہ رات حیدرآباد میں کنسرٹ کیا جو انکے دل لومیناٹی ٹور کا حصہ تھا کنسرٹ سے پہلے تلنگانہ حکومت نے ان لیے انتباہ جاری کیا تھا جس میں ان شراب تشدد حوصلہ افزائی مشتمل گانے گانے پابندی لگائی گزشتہ روز گلوکار نے کنسرٹ میں تلنگانہ حکومت وارننگ طنز کیا جس ویڈیو انٹرنیٹ وائرل مزید پڑھیں دلجیت دوسانجھ نے 10 شہروں مشتمل نئے دل لومناٹی ٹور کا اعلان کردیا دلجیت نے کہا جب دوسرے ممالک سے فنکار یہاں آتے انہیں جو چاہے کرنے اجازت لیکن جب آپ اپنے ملک کا فنکار گاتا کو پریشانی کچھ کو میری کامیابی ہضم نہیں بھارت گلوکار حیدرا باد میں کامیاب شو انتہائی خوش نظر ا ئے انہوں نے سوشل میڈیا پوسٹ میں لکھا شکریہ حیدرا باد انرجی ساری مون A post shared by DILJIT DOSANJH diljitdosanjh بھارتی گلوکار ان دنوں دل لومناٹی ٹور نام سے بھارت 10 شہروں مشتمل بڑی کنسرٹ سیریز میں مصروف ٹور 26 اکتوبر کو دہلی مشہور جواہر لعل نہرو اسٹیڈیم سے شروع تھا وہ احمد آباد لکھنؤ پونے کولکتہ بنگلور اندور چندی گڑھ گوہاٹی میں بھی کنسرٹ,entertainment,1229.0
3,بھارتی اداکارہ نسل پرستانہ بیان دینے پر گرفتار,https://www.express.pk/story/2733525/kasthuri-shankar-arrested-over-alleged-racist-remarks,حیدرآباد معروف ساؤتھ انڈین اداکارہ کستھوری شنکر کو مبینہ نسل پرستانہ تبصرے الزام میں گرفتار کر لیا گیا کستھوری شنکر حکمران بھارتیہ جنتا پارٹی بی جے پی حامی بھی بھارتی پولیس نے عدالت سے کستھوری قبل از گرفتاری ضمانت درخواست خارج ہونے بعد انہیں حراست میں لیا بھارتی میڈیا رپورٹس مطابق چنئی پولیس نے اداکارہ کستھوری شنکر کو حیدر آباد گچی باؤلی سے گرفتار کیا انہوں نے بھارتی ریاست تامل ناڈو میں ہندو انتہا پسند جماعت ہندو مکل کچی ایچ ایم اجلاس میں تیلگو برادری حسب نسب سے متعلق نازیبا بیان دیا تھا جس ان خلاف کارروائی کستھوری شنکر کو اس بیان شدید تنقید کا نشانہ بنایا گیا مدورائی تھرونگر پولیس نے ان خلاف ہنگامہ ا رائی اکسانے سمیت مختلف دفعات تحت مقدمہ درج کرلیا 50 سالہ اداکارہ نے مدراس ہائی کورٹ مدورائی بنچ میں پیشگی ضمانت درخواست دائر جو مسترد کردی انہوں نے اپنے بیان معافی بھی مانگتے کہا میرا مقصد کبھی بھی تیلگو کو تکلیف پہنچانا یا ناراض کرنا نہیں تھا میں کسی کو نادانستہ دکھ دینے لیے معذرت خواہ تاہم عدالت نے ان معافی قبول نہیں مدراس ہائی کورٹ مدورائی بنچ نے اداکار پیشگی ضمانت درخواست کو مسترد فیصلہ دیا ان کا بیان نفرت انگیز تقریر مبنی عوامی شخصیات کو عوام میں خطاب کرنے سے پہلے بار سوچنا چاہیے عدالت نے فیصلہ میں کہا ان معافی سچائی مبنی نہیں نہیں گا نفرت انگیز تقریر بعد معافی مانگ کر ا سانی سے جان چھڑالی جائے ضمانت درخواستیں مسترد ہونے بعد وہ روپوش ہوگئیں تھیں لیکن چنئی پولیس نے حیدرآباد میں اس دوست گھر چھاپے دوران اسے گرفتار کرلیا جہاں وہ چھپی کستھوری شنکر نے بالی ووڈ فلموں میں کام کرنے ساتھ ساتھ جنوبی دراوڑی تمل تیلگو ملیالم کنڑ زبانوں فلموں میں بھی کام کیا وہ بی جے پی کٹر حامی بھی اس نے 2024 بھارتی عام انتخابات دوران بھارت شہر مدورائی میں پارٹی لیے مہم چلائی,entertainment,1861.0
4,آرٹس کونسل میں 21 روزہ ’عوامی تھیٹر فیسٹیول‘ کامیابی سے جاری,https://www.express.pk/story/2733493/arts-council-karachi-pakistan-theater-festival,آرٹس کونسل آف پاکستان کراچی جانب سے 21روزہ عوامی تھیٹر فیسٹیول کامیابی سے جاری فیسٹیول آٹھویں روز سرائیکی ڈرامہ بے س پیش کیا گیا بے س کو اردو میں بے بس کہا جاتا ڈرامہ رائٹر ڈائریکٹر ظہور ملک کاسٹ میں شانزے شمیر راہی ناصرہ نور بشیر راہی فرح خان آزاد شیخ شہزاد تھیم الطاف روکھڑی طارق فریدی ظفر تھیم زلفی کھوکھر آفتاب ایاز ملک اظہر بھگوان داس عشرت ملک اتے منظور ملک شامل ڈرامہ کہانی میں بے بس غریب خاندان ظالم جاگیردار کو دکھایا گیا جاگیردار مسلسل ان ظلم کرتا ان عزت سے بھی کھیلنے کوشش کرتا مگر غریب اس جاگیردار آگے بے بس ایسے میں میڈیا نمائندے ان آواز بنتے وہ غریب کو سمجھاتے جب آپ اپنا کھاتے کماتے ان جاگیرداروں سے ڈرتے حالات حاضرہ مطابق ان صحافیوں کو قتل کروا دیا جاتاہے ڈرامہ میں دکھایا گیا ہمارے ملک میں کس طرح کمزور انسان آواز کو دبا دیا جاتا جو ان حق اپنی آواز بلند کرتا وہ بھی جان سے ہاتھ دھو بیٹھتا تھیٹر میں فنکاروں شاندار پرفارمنس کو شائقین نے خوب سراہتے تالیاں بجا کر داد,entertainment,1076.0
5,نیٹ فلکس ڈاؤن، سوشل میڈیا پر شکایتوں کا طوفان آگیا,https://www.express.pk/story/2733439/netflix-downloads-social-media-complaints-incident,معروف امریکی اسٹریمنگ پلیٹ فارم نیٹ فلکس باکسنگ ایونٹ دوران ڈاؤن ہوگیا جس نے شائقین کو مایوس کردیا غیر ملکی میڈیا رپورٹس مطابق نیٹ فلکس جمعہ روز مائیک ٹائسن جیک پال درمیان ہونے باکسنگ لائیو ایونٹ دوران نیٹ فلکس اسٹریمنگ مسائل کا شکار ہوگیا جس سے صارفین تشویش میں پڑگئے آرلنگٹن ٹیکساس اے ٹی اینڈ ٹی اسٹیڈیم میں ہونے اس مقابلے سے پہلے صارفین نے ویڈیو معیار میں خرابی پکسلز پھٹنے اسٹریمنگ رکنے حتی ایپ کریش ہونے شکایت صرف امریکہ میں نیٹ فلکس ڈاؤن ہونے 80 ہزار سے زائد رپورٹس ریکارڈ گئیں جبکہ سوشل میڈیا پلیٹ فارم ایکس بھی ہیش ٹیک نیٹ فلکس کریش ٹرینڈ کرنے لگا ویب سائٹ ٹریکنگ پلیٹ ڈاؤن ڈیٹیکٹر نے شام 8 بجے مقامی وقت نیٹ فلکس ویب سائٹ مسائل رپورٹ میں اضافے اطلاع جو رات 9 30 بجے 88 700 شکایات پہنچ گئیں ایکس صارفین نے باکسنگ میچ دوران ویڈیوز خرابی سے متعلق جی ا ئی ایف تصاویر شیئر کیں جس طنزیہ تبصرے بھی اسٹریمنگ ویب سائٹ شدید تنقید کیا رات 11 بجے بعد شروع ہونے باکسنگ مرکزی مقابلے دوران بھی اسٹریمنگ میں مسائل اطلاعات موصول ہوئیں لیکن ابتدائی شکایات مقابلے میں کم تھیں نیٹ فلکس ترجمان نے اس حوالے سے فوری تبصرہ نہیں کیا یاد 58 سالہ باکسر مائیک ٹائسن جو سابق ہیوی ویٹ چیمپئن باکسنگ دنیا کا بڑا نام کا مقابلہ 27 سالہ جیک پال سے جو یوٹیوبر سے باکسر بننے کا سفر طے کر اس بڑے مقابلے مداح پرجوش ہزاروں بیک وقت مقابلہ نیٹ فلکس دیکھ جب انہیں اسٹریمنگ میں پریشانی کا سامنا کرنا پڑا,entertainment,1529.0
6,پاکستانی ویب سیریز ’فروٹ چاٹ‘ کی شوٹنگ کا آغاز کردیا گیا,https://www.express.pk/story/2733408/the-shooting-of-pakistani-web-series-fruit-chaat-has-started,عالمی ایوارڈ یافتہ پاکستان شوبز نوجوان ہدایتکار معیزعباس نئی ویب سیریز فروٹ چارٹ شوٹنگ کا ا غاز کردیا گیا اس ویب سیریز کہانی رائٹر ہیومن ایکٹیوسٹ تنزیلا خان نے لکھی جو خود اس ویب سیریز میں مرکزی کردار ادا کر جبکہ معروف اداکار فواد جلال نادیہ افغان بھی اس پراجیکٹ میں خصوصی کردار نبھاتے نظر ا ئیں A post shared by Moiz Abbas imoizabbas فروٹ چاٹ کہانی ایسی تعلیم یافتہ قابل لڑکی شبانہ گھومتی جو ویل چیئر استعمال کرنے والی خاتون مگر ہمت اعلی مثال تاہم اسے معاشرے میں بچپن سے کر جوانی مشکلات کا سامنا کرنا پڑا مگر اس نے ہار نہ مانتے ان مشکلات کا ڈٹ کر مقابلہ کیا معاشرے میں اپنا مقام بنانے میں کامیاب شبانہ ایسے معاشرے میں اپنے لیے جگہ بنانے جدوجہد کر جہاں معذوری سے جڑے تصورات تعصبات خوابوں کامیابی درمیان رکاوٹ بنتے A post shared by Moiz Abbas imoizabbas کامیڈی سے بھرپور منفرد کہانی ناظرین کو ہنسنے مجبور کرنے ساتھ ساتھ ان ذہنوں میں غور فکر لیے موضوعات چھوڑ جن میں روزگار محبت دوستی عورت ہونے تجربات شامل ہدایتکار معیز عباس ویب سیریز اس وقت شوٹنگ مرحلے میں جس کو جنوری پہلے ہفتے میں ریلیز جانے کا امکان جبکہ ریلیز حتمی تاریخ کا اعلان جلد کیا جائے گا A post shared by Iwish Ventures iwish ventures 7 قسطوں مشتمل ویب سیریز فروٹ چارٹ کو اس ا فیشل اسٹریمنگ پارٹنر مائیکو ریلیز کیا جائے گا فروٹ چاٹ کو اس سے قبل بطور مختصر فلم پیش کیا گیا تھا جس نے مسلم انٹرنیشنل فلم فیسٹیول یو ویمن انٹرنیشنل فلم فیسٹیول روس سے بہترین مختصر فلم ایوارڈز بھی حاصل A post shared by Tanzila Khan iamtanzilakhan ہدایتکار معیزعباس پاکستان ابھرتے ٹیلنٹ میں سے جو ٹی وی فلم پروڈکشن ڈائریکشن شعبے میں بطورڈائریکٹر پراجیکٹس کامیاب بنا کر عالمی سطح ملک کا نام روشن کر A post shared by Moiz Abbas imoizabbas یاد نوجوان ہدایتکار معیزعباس وہ واحد پاکستانی ہدایتکار ہونے کا اعزاز بھی جو زی فائیوگلوبل کنٹینٹ فیسٹیول ایوارڈز بھی اپنے نام کرچکے,entertainment,2031.0
7,ریاض میں رنگارنگ فیشن شو، جینیفر لوپیز سمیت دیگر گلوکاروں نے سُر بکھیر دیئے,https://www.express.pk/story/2733380/a-colorful-fashion-show-in-riyadh-jennifer-lopez-and-other-singers-made-headlines,سعودی عرب کےدارالحکومتریاض میں منعقد ہونے فیشن شو میں عالمی شہرتے یافتہ گلوکاروں شاندار پرفارمنسز نے دھوم مچا فیشن شو ریاض سیزن سالانہ تفریحی فیسٹیول دوران منعقد کیا گیا جہاں لبنانی ڈیزائنر تخلیق کردہ 300 سے زائد دیدہ زیب ملبوسات پیش اختتامی تقریب میں ماڈلز نے ریمپ اپنے منفرد انداز میں واک شائقین داد سمیٹی جبکہ جینیفر لوپیز سیلین ڈیون نینسی اجرم عمرو دیاب کیملا کابیلو جیسے معروف گلوکاروں نے اپنی س ریلی آوازوں سے تقریب کو یادگار بنا دیا سوشل میڈیا اس گرینڈ فیشن شو ویڈیوز وائرل جو صارفین توجہ کا مرکز بنی A post shared by Arab News Lifestyle arabnews lifestyle,entertainment,652.0
8,دیشا پٹانی کے والد کے ساتھ لاکھوں روپے کا فراڈ ہوگیا,https://www.express.pk/story/2733374/disha-patanis-father-was-defrauded-of-lacs-of-rupees,بالی ووڈ خوبرو اداکارہ دیشا پٹانی والد ریٹائرڈ ڈپٹی ایس پی جگدیش سنگھ پٹانی مبینہ 25 لاکھ روپے دھوکہ دہی کا شکار بھارتی میڈیا رپورٹس مطابق پانچ مشتمل گروہ نے انہیں سرکاری کمیشن میں اعلی عہدہ دلانے کا جھانسہ کر رقم حاصل پولیس مطابق واقعہ بریلی کوتوالی پولیس اسٹیشن میں درج کیا گیا نامزد ملزمان خلاد دھوکہ دہی دھمکیاں دینے جبری وصولی الزامات تحت مقدمہ درج کر لیا گیا ایف آر میں کہا گیا اداکارہ والد سے 5 لاکھ روپے نقد 20 لاکھ روپے تین مختلف بینک اکاؤنٹس میں ٹرانسفر کرائے تاہم انہیں اعلی عہدہ نہ ملا لوٹ لیا گیا,entertainment,624.0
9,ڈان 3 میں ولن کون ہوگا؟ نام سامنے آگیا,https://www.express.pk/story/2733372/who-will-be-the-villain-in-don-3-the-name-came-up,بالی ووڈ مشہور فلم ڈان فرنچائز تیسری فلم ڈان 3 میں ولن کردار کیلئےوکرانت میسی کا نام زیر غور فرحان اختر ہدایتکاری میں بننے والی ڈان 3 میں رنویر سنگھ کیارا اڈوانی مرکزی کردار ادا فلم اس وقت تیاری مرحلے میں جبکہ ولن کا نام اب فائنل نہیں ہوسکا تاہم کہا جارہا اداکار وکرانت میسی کو فلم میں ولن اس اہم کردار لیے پیشکش جاسکتی رپورٹ مطابق وکرانت میسی جنہوں نے حالیہ فلم 12ویں فیل میں بہترین اداکاری کا مظاہرہ کیا دنیا بھر میں خوب نام کمایا انہیں ڈان 3 میں رنویر سنگھ مقابل مرکزی ولن کا کردار ادا کرنے تجویز تاہم ابھی اس کا فیصلہ نہیں پوڈکاسٹ میں فرحان اختر نے بتایا انہوں نے ڈان 3 لیے نئی نسل اداکار تحت رنویر سنگھ کو منتخب کیا انہوں نے رنویر توانائی اداکاری صلاحیت کو سراہا کہا ان کا منفرد پہلو ابھی مکمل سامنے نہیں آیا جس کو وہ دنیا سامنے لانے کوشش واضح ڈان 3 تیاری ا ئندہ سال مارچ میں شروع ہوگی کیونکہ فرحان رنویر دیگر منصوبوں میں مصروف تاہم شائقین اس میگا فلم کو بڑے پردے دیکھنے برقرار فلم ریلیز منتظر,entertainment,1123.0
10,ادارہ 'علم دوست' کی جانب سے'معلوماتِ عامہ' کے ماہرین میں تقسیمِ ایوارڈ,https://www.express.pk/story/2733338/idara-ilmdost-ki-janib-se-malomataama-ke-expert-me-awarddistribution,ادارہ علم دوست جانب سے معلومات عامہ ممتاز ماہرین کو ایوارڈ عطا آرٹس کونسل کراچی میں 17 میں سے 15 ایوارڈز پاکستان کوئز سوسائٹی ماہرین نے اپنے نام جن میں عقیل عباس جعفری بھی شامل کراچی میں منعقدہ رنگارنگ تقریب میں ادارہ علم دوست جانب سے تقریب اعزازات منعقد جس میں جس میں معلومات عامہ جنرل نالج ممتاز ماہرین سمیت دیگر اہلیان علم کو ایوارڈز دیئے جنرل نالج کےماہرین کو ان غیرمعمولی کردار اعتراف میں اعزازات سے نوازا گیا آرٹس کونسل آف پاکستان کراچی حسینہ معین ہال میں ہونے والی تقریب صدارت ڈاکٹر الطاف مکاتی نے جبکہ مہمان خصوصی ڈاکٹر منصور الظفر تاجدار عادل مہمان اعزازی چوتھے علم دوست ایوارڈز میں پاکستان کوئز سوسائٹی انٹرنیشنل رجسٹرڈ 15 اراکین کو ایوارڈز دئیے جن میں بانی چئیرمین عاصم علی قادری ڈاکٹر عقیل عباس جعفری کو لائف ٹائم اچیومنٹ ایوارڈ دیا گیا جبکہ دیگر تیرہ ایوارڈز یافتہ ارکان میں سید جاوید رضا نقوی طاہر حبیب ڈاکٹر جمیلہ خانم پروفیسر ابراہیم غوری پروفیسر منور علی قریشی سعید احمد سعید سہیل احمد صدیقی عارف مصطفی امان اللہ پنجوانی اطہر رضااجنبی محمد عارف سومرو واجد رضا اصفہانی کا نام شامل سوسائٹی سابق عہدے دار نفیس احمد خان کو بعداز مرگ ایوارڈ سے نوازا گیا ادیب دانشورفیروز ناطق خسرو رضی الدین سید نے بھی لائف ٹائم اچیومنٹ ایوارڈ وصول کیا ادارہ علم دوست آرگنائزنگ کمیٹی بانی صدر شبیر ابن عادل ناساز طبیعت باعث تقریب میں شرکت نہ کرسکے دیگر اراکین میں میر حسین علی امام عطا محمد تبسم اکبر علی خالد پرویز صدیقی شاہد محی الدین عطاالرحمان سید عبدالباسط گل بانو بھی تقریب میں موجود پروگرام میں میزبانی فرائض ڈاکٹر فرحانہ اویس نے انجام دیے,entertainment,1596.0
